state,year,availability,expenditure,utilization_rate
JK,22-23,97790.62999999999,96804.76000000002,98.9918563772419
JK,23-24,121738.48000000001,121787.52,100.04028307236956
JK,24-25,132461.0,131606.97999999998,99.35526683325658
JK,25-26,156280.4,156360.12000000002,100.05101087532411
KA,22-23,688477.3899999999,657798.1799999999,95.54390449917317
KA,23-24,659230.95,660682.69,100.22021720915863
KA,24-25,633130.87,639366.42,100.98487537023743
KA,25-26,334330.4099999999,343930.44999999995,102.87142291363804
KL,22-23,400239.1099999999,398894.70999999996,99.66410079214899
KL,23-24,399385.3,396262.30999999994,99.21805083962778
KL,24-25,392293.10000000003,400697.49000000005,102.14237517815124
KL,25-26,311704.02,331254.19999999995,106.2720333218673
MH,22-23,286248.4,294390.14,102.84429188075809
MH,23-24,410831.66,427300.29,104.00860780787926
MH,24-25,562895.78,580038.49,103.04545008313973
MH,25-26,764474.27,775624.9099999999,101.45860239351154
ML,22-23,126341.47,126355.05999999998,100.01075656314589
ML,23-24,109076.45999999999,109001.18000000001,99.9309841921896
ML,24-25,151698.75,151550.75,99.90243822048632
ML,25-26,128475.36000000002,127622.23,99.33595827246562
MN,22-23,81077.54000000001,79809.09,98.43551000684036
MN,23-24,65781.25,65889.45,100.16448456057007
MN,24-25,90341.63,90359.07,100.01930450004058
MN,25-26,104690.47,104616.73,99.92956378933057
MP,22-23,788786.57,779007.94,98.76029456231741
MP,23-24,715832.68,712949.1099999999,99.59717262419477
MP,24-25,691249.89,691919.61,100.09688536803962
MP,25-26,606208.55,596209.2799999999,98.35052309968242
MZ,22-23,53907.93000000001,53884.369999999995,99.95629585480279
MZ,23-24,70437.79000000001,70224.57999999999,99.69730736867238
MZ,24-25,61372.01,61269.87,99.8335723402248
MZ,25-26,68489.47,68540.29,100.07420118742341
NL,22-23,87825.91,88802.88,101.11239382546677
NL,23-24,75892.34999999999,76894.25,101.32015941000643
NL,24-25,38985.649999999994,39991.35,102.57966713393263
NL,25-26,40570.40000000001,41617.39000000001,102.58067458048232
OD,22-23,540952.25,552817.27,102.1933581013851
OD,23-24,533512.29,542952.13,101.7693762968422
OD,24-25,454966.0300000001,463361.51999999996,101.84530040627426
OD,25-26,447495.64,442751.04,98.93974385985078
PB,22-23,135936.2,133782.68,98.41578622912806
PB,23-24,133808.40000000002,131828.4,98.52027226990232
PB,24-25,141054.43000000002,138866.84,98.44911641555673
PB,25-26,103182.26000000001,101381.29000000001,98.2545739936303
RJ,22-23,1010086.8900000001,1018354.93,100.81854740239227
RJ,23-24,964890.6699999999,928166.1399999999,96.19391801145719
RJ,24-25,1052800.46,940442.32,89.32768893357056
RJ,25-26,808860.5,702085.69,86.79935415315742
SK,22-23,10760.369999999999,10410.1,96.7448145370466
SK,23-24,12847.13,12805.77,99.67806039169838
SK,24-25,11208.46,11191.9,99.85225445779349
SK,25-26,10289.09,10149.380000000001,98.64215397085651
TG,22-23,349842.94,342498.69,97.90070081162708
TG,23-24,403675.8,405511.63,100.45477831467728
TG,24-25,426542.26,432816.78,101.47101954211995
TG,25-26,324046.0,333734.19000000006,102.9897576270036
TN,22-23,1191746.3399999999,1140899.8999999997,95.73345113021281
TN,23-24,1323249.7100000002,1338892.4000000001,101.18214195565551
TN,24-25,1055735.99,1073685.46,101.70018547913668
TN,25-26,602656.58,624970.76,103.70263608504864
TR,22-23,102228.04999999999,100742.24,98.54657307852396
TR,23-24,112738.92000000001,112705.70000000001,99.97053368969652
TR,24-25,114293.69,115311.57,100.89058284844947
TR,25-26,77853.32,79626.48,102.27756504154222
UK,22-23,91035.48999999999,90804.31,99.74605508247389
UK,23-24,71828.44,72190.8,100.50447984113258
UK,24-25,67573.05,67828.48999999999,100.37802052741438
UK,25-26,55217.649999999994,54653.08999999999,98.97757329404638
UP,22-23,1193048.11,1192912.6300000001,99.98864421318265
UP,23-24,1145563.23,1139427.84,99.46442153175606
UP,24-25,1185068.37,1198004.8800000001,101.09162562494178
UP,25-26,893865.3099999999,903420.1300000001,101.06893285745704
WB,22-23,100348.83000000002,106025.13000000002,105.65656819317175
WB,23-24,10612.160000000002,19126.319999999996,180.2302264571962
WB,24-25,7456.690000000002,18799.589999999997,252.11709216824073
WB,25-26,1910.1900000000014,13725.399999999998,718.5358524544672
